id,customer_id,name,age,income,gender,purchase_date,purchase_amount,coupon_used,discount_amount,payment_method,product_category,clv,churn_flag,segment,inserted_at
14519,bb6f80e9-48c8-4421-a035-4a527a1153fa,Brian King,50,68066,0,2025-04-14 08:14:33.000000,58.87,false,0.00,Cod,Groceries,58.87,0,2,2025-04-20 03:00:00.000000
14599,a80ba7af-d904-4fde-b62d-2c542a2d212b,Suzanne Ball,43,68501,1,2025-04-02 15:42:34.000000,52.18,false,0.00,Net Banking,Sports,52.18,1,2,2025-04-20 03:00:00.000000
14600,431c2e47-2fd1-43c7-8cc7-6ec3a1244c57,Christine Sexton,23,48915,1,2025-04-03 00:38:38.000000,42.83,true,7.96,Credit Card,Electronics,42.83,1,1,2025-04-20 03:00:00.000000
14501,40e3755e-baca-4a4e-aff2-890805307894,Tanya Taylor,39,101231,0,2025-04-18 03:26:22.000000,60.86,false,0.00,Credit Card,Sports,60.86,0,3,2025-04-20 03:00:00.000000
14502,7b480d10-145e-4467-b6e8-86fe0c8fedae,Kendra Hernandez,36,43351,1,2025-04-03 11:14:12.000000,42.68,false,0.00,Credit Card,Clothing,42.68,1,1,2025-04-20 03:00:00.000000
14503,9f745daa-3365-4514-89e6-b47a0b056e63,John Blackwell,24,87102,0,2025-03-29 05:12:54.000000,32.13,false,0.00,Upi,Groceries,32.13,1,3,2025-04-20 03:00:00.000000
14504,ffe795d6-da5f-4d73-b2d5-ae40ab9da976,Becky Avila,18,76208,0,2025-04-06 11:14:40.000000,71.52,false,0.00,Paypal,Clothing,71.52,0,2,2025-04-20 03:00:00.000000
14505,d9343c28-099d-4526-856b-88f13fd8fd05,Alejandro Harris,25,26924,1,2025-04-14 13:03:38.000000,40.17,true,12.39,Credit Card,Clothing,40.17,0,1,2025-04-20 03:00:00.000000
14506,35464bac-757f-49dc-b38e-f133dffd4b7f,Lisa Walker,22,30942,0,2025-03-21 13:28:05.000000,66.02,false,0.00,Upi,Clothing,66.02,1,1,2025-04-20 03:00:00.000000
14507,8d9017f9-9eef-46d5-911f-cd56c18bdc38,Patrick Horton,23,38370,0,2025-03-25 20:23:24.000000,68.95,false,0.00,Upi,Electronics,68.95,1,1,2025-04-20 03:00:00.000000
14508,c7c30629-5e0b-4a1f-9831-3ca78103b544,Paul Mccoy,36,44228,1,2025-04-16 11:07:28.000000,54.82,true,14.96,Net Banking,Sports,54.82,0,1,2025-04-20 03:00:00.000000
14509,34ac83fa-8c23-46f9-8dca-a64a850edf2f,James Wade,18,37296,1,2025-03-27 05:46:57.000000,96.46,true,25.19,Paypal,Groceries,96.46,1,1,2025-04-20 03:00:00.000000
14510,ad300270-cef3-487e-a046-4f48ee2a3150,Allison Cain,53,65453,1,2025-04-02 20:14:22.000000,79.99,true,10.02,Credit Card,Groceries,79.99,1,2,2025-04-20 03:00:00.000000
14511,def6d5e0-cfbd-4c89-acd6-4c0a0644ae93,Keith Nelson,30,73249,0,2025-03-28 16:08:47.000000,104.87,false,0.00,Upi,Sports,104.87,1,2,2025-04-20 03:00:00.000000
14512,5dc33326-2f18-4704-9641-0028606a3aa8,Julie Merritt,28,30317,0,2025-03-27 20:01:23.000000,24.06,false,0.00,Credit Card,Groceries,24.06,1,1,2025-04-20 03:00:00.000000
14513,d10ec28f-2a92-4cbe-ac3f-1a33ca95ab7c,Rachel Sweeney,42,35869,0,2025-03-29 10:54:52.000000,10.94,true,1.31,Paypal,Books,10.94,1,1,2025-04-20 03:00:00.000000
14514,fd2f504d-7bfa-428c-93c7-f0a0ad5a65c9,James Alvarado,40,63789,0,2025-04-19 19:38:53.000000,16.14,false,0.00,Credit Card,Books,16.14,0,2,2025-04-20 03:00:00.000000
14515,747a1962-1078-4aa8-877a-b516f075dc0e,Bryan Werner,23,34274,0,2025-03-31 11:12:28.000000,58.61,false,0.00,Upi,Electronics,58.61,1,1,2025-04-20 03:00:00.000000
14516,357f3e85-c526-4fba-842b-dcd780f9f742,Miss Holly Obrien,43,47035,1,2025-04-03 07:29:48.000000,66.93,true,9.36,Paypal,Groceries,66.93,1,1,2025-04-20 03:00:00.000000
14517,d318cddb-ed98-4248-892e-e5516ff623dd,Douglas Hawkins,32,41463,0,2025-04-07 14:43:17.000000,52.61,false,0.00,Credit Card,Groceries,52.61,0,1,2025-04-20 03:00:00.000000
14518,7c17907a-755e-43a9-a82b-624542964dbd,Robert Jones,24,26908,1,2025-04-03 17:56:42.000000,22.66,false,0.00,Credit Card,Groceries,22.66,1,1,2025-04-20 03:00:00.000000
14520,782a72f0-1175-402b-9071-4cee6fe90ef3,Christina Jenkins,53,74658,0,2025-04-01 16:55:34.000000,19.29,false,0.00,Credit Card,Electronics,19.29,1,2,2025-04-20 03:00:00.000000
14521,8ce87afc-4dc8-4bc3-be61-8c991de8b313,Adrian Hamilton,55,54015,0,2025-03-25 15:36:43.000000,89.63,false,0.00,Credit Card,Electronics,89.63,1,2,2025-04-20 03:00:00.000000
14522,2e76a3cb-0e49-4302-9f88-96e8b1dc233d,Savannah Rodriguez,44,40227,0,2025-03-29 09:21:26.000000,47.60,true,4.82,Credit Card,Books,47.60,1,1,2025-04-20 03:00:00.000000
14523,5c5dcec6-3785-4448-90fe-2c5f27e98bf4,Troy Jackson,18,32174,0,2025-03-31 12:32:03.000000,55.89,false,0.00,Upi,Electronics,55.89,1,1,2025-04-20 03:00:00.000000
14524,6fa5eeb7-ebec-4c57-b851-16c0e89e3ee0,Marcus Brown,29,35710,0,2025-04-09 19:59:02.000000,27.36,false,0.00,Credit Card,Books,27.36,0,1,2025-04-20 03:00:00.000000
14525,6532bd72-a353-4a63-8e09-945c20c30e51,Laura Rodriguez,32,36545,0,2025-04-12 17:38:32.000000,37.54,false,0.00,Net Banking,Sports,37.54,0,1,2025-04-20 03:00:00.000000
14526,a84d5298-5544-46f7-92f5-6ff9dd1ff412,Megan Lawrence,49,32297,0,2025-04-09 21:29:56.000000,35.83,false,0.00,Upi,Home Decor,35.83,0,1,2025-04-20 03:00:00.000000
14527,d6aab506-cd2d-4755-85fe-ef27f1b2f41a,Jonathan Quinn,18,47901,0,2025-03-24 03:19:18.000000,39.64,false,0.00,Net Banking,Electronics,39.64,1,1,2025-04-20 03:00:00.000000
14528,05a179a8-f9f1-4862-a301-c808724ece2a,Ryan Shaw,41,44744,1,2025-04-01 11:30:09.000000,15.24,true,2.62,Credit Card,Groceries,15.24,1,1,2025-04-20 03:00:00.000000
14529,5e25c570-a71b-41c1-935c-456a1fb83866,Justin Bonilla,31,57439,1,2025-04-01 21:59:53.000000,202.18,false,0.00,Credit Card,Groceries,202.18,1,2,2025-04-20 03:00:00.000000
14530,f075e4a5-2d27-4daf-9e3f-0928f67d28aa,Edwin Garcia,46,64668,1,2025-04-02 12:04:09.000000,51.16,true,12.93,Upi,Electronics,51.16,1,2,2025-04-20 03:00:00.000000
14531,acef962f-dcf1-4a37-8fd7-b291dce8ec39,Scott Obrien,48,48951,1,2025-04-02 07:43:38.000000,36.11,false,0.00,Credit Card,Electronics,36.11,1,1,2025-04-20 03:00:00.000000
14532,8bac9a4e-c97b-4e61-bba3-8ca893cb9ce9,Troy Brock,54,106432,1,2025-04-10 06:06:51.000000,47.96,false,0.00,Upi,Groceries,47.96,0,3,2025-04-20 03:00:00.000000
14533,bbf33b39-522f-44aa-a514-6cefe94c6f4d,Miss Julie Church DDS,34,60651,0,2025-03-31 07:15:54.000000,24.84,false,0.00,Credit Card,Books,24.84,1,2,2025-04-20 03:00:00.000000
14534,e943da66-5ee5-497d-8b77-244c4fa4c176,Michael Rodriguez,50,53293,1,2025-03-31 02:21:02.000000,20.97,true,2.03,Upi,Electronics,20.97,1,2,2025-04-20 03:00:00.000000
14535,d9246be3-1f72-4ce0-9315-4606da4e477c,Diana Johnson,34,88174,1,2025-04-04 00:25:35.000000,60.06,true,19.51,Upi,Groceries,60.06,1,3,2025-04-20 03:00:00.000000
14536,9cf0e264-f5e1-4f86-b219-b4ebb9f322c5,Megan Webster,38,31761,0,2025-03-25 16:28:31.000000,26.89,false,0.00,Paypal,Books,26.89,1,1,2025-04-20 03:00:00.000000
14537,3cf74d61-7b0a-4d45-8cd3-af92b209ef92,Heather Rivera,41,61761,1,2025-04-11 13:44:00.000000,13.56,false,0.00,Cod,Groceries,13.56,0,2,2025-04-20 03:00:00.000000
14538,8cedbb64-a2ce-483c-b9cc-68196094a676,Jeremy Sanchez,36,39694,1,2025-04-13 09:45:34.000000,42.84,false,0.00,Net Banking,Clothing,42.84,0,1,2025-04-20 03:00:00.000000
14539,7c7deec8-c827-450a-aafe-43c808205d04,John Hanna,20,32620,0,2025-04-07 20:18:52.000000,21.80,true,6.39,Credit Card,Electronics,21.80,0,1,2025-04-20 03:00:00.000000
14540,c70784b5-3191-4a64-8648-94c29ddbd19a,Cheryl Davis,27,27008,0,2025-03-30 01:00:49.000000,99.57,false,0.00,Paypal,Electronics,99.57,1,1,2025-04-20 03:00:00.000000
14541,3063b874-e2bc-4ef5-93cb-aaf468a0e009,Angela Friedman,18,29821,0,2025-04-03 20:15:44.000000,13.82,false,0.00,Upi,Electronics,13.82,1,1,2025-04-20 03:00:00.000000
14542,70805c11-f22a-4513-9c98-b33e33d64144,Frank Perez,43,82554,0,2025-04-05 14:37:39.000000,17.66,false,0.00,Net Banking,Home Decor,17.66,0,2,2025-04-20 03:00:00.000000
14543,1637d232-157d-440e-bd24-5094e5ce99bb,Daniel Hernandez,27,21884,0,2025-04-18 19:14:26.000000,22.04,false,0.00,Credit Card,Electronics,22.04,0,1,2025-04-20 03:00:00.000000
14544,6c7aa5e0-c8b9-416e-925b-b3f36af75b1b,Stacie Collins,22,29141,0,2025-03-25 00:13:22.000000,48.24,false,0.00,Upi,Electronics,48.24,1,1,2025-04-20 03:00:00.000000
14545,ef0f278c-ed7d-4c37-a29f-5e32140a9380,Jack Walker,28,25329,1,2025-03-29 18:14:37.000000,17.72,false,0.00,Upi,Groceries,17.72,1,1,2025-04-20 03:00:00.000000
14546,b5032803-3f4b-417c-b95e-646c40a94873,Ian Johnson,30,25065,1,2025-04-19 21:33:27.000000,48.21,false,0.00,Upi,Electronics,48.21,0,1,2025-04-20 03:00:00.000000
14547,9427433b-246f-4e7c-bfcd-883f16ec412b,Michele Edwards,25,40853,1,2025-03-30 20:04:45.000000,27.69,true,8.39,Credit Card,Home Decor,27.69,1,1,2025-04-20 03:00:00.000000
14548,4c784f24-3cbe-4e42-85c5-4d142be85321,Melissa Knight,33,71066,1,2025-04-01 10:43:29.000000,137.68,false,0.00,Upi,Groceries,137.68,1,2,2025-04-20 03:00:00.000000
14549,70f0ef1f-53ad-4d36-ab6c-093a2ddfa80e,Tara Spencer,41,48703,1,2025-04-04 10:19:20.000000,55.97,true,10.80,Upi,Electronics,55.97,1,1,2025-04-20 03:00:00.000000
14550,a8a2f4d4-baf0-4b24-9693-eee6fc7bdeb3,Donna Turner,49,76669,1,2025-03-22 23:49:43.000000,46.66,false,0.00,Upi,Electronics,46.66,1,2,2025-04-20 03:00:00.000000
14551,0e4a6d06-1653-4448-ac22-87c9838288c0,Brian Barnes,28,35257,0,2025-03-29 11:30:25.000000,23.32,true,3.29,Credit Card,Clothing,23.32,1,1,2025-04-20 03:00:00.000000
14552,a6619fca-1fa1-4a88-a346-b96884f124cf,Devin Mendoza,40,41183,0,2025-04-15 01:14:26.000000,70.62,false,0.00,Upi,Groceries,70.62,0,1,2025-04-20 03:00:00.000000
14553,0cbbfba5-40dc-4adf-96bb-8560c5519c24,Jennifer Ford,41,86110,1,2025-04-18 10:48:19.000000,23.85,false,0.00,Cod,Clothing,23.85,0,3,2025-04-20 03:00:00.000000
14554,ebb10b7f-4656-4741-815c-6ab8a0f77f8f,Bianca Lewis,34,52657,1,2025-03-31 02:48:26.000000,37.99,false,0.00,Credit Card,Home Decor,37.99,1,2,2025-04-20 03:00:00.000000
14555,91a14865-8602-4cf4-ba2f-d774eb650d50,Rhonda Wise,29,29955,1,2025-03-26 01:50:05.000000,20.88,false,0.00,Paypal,Groceries,20.88,1,1,2025-04-20 03:00:00.000000
14556,24018461-b802-4643-8f38-868dc4db1443,Brenda Brady,41,61896,1,2025-04-06 02:38:47.000000,90.24,false,0.00,Upi,Groceries,90.24,0,2,2025-04-20 03:00:00.000000
14557,85f6be22-98a5-49df-a392-574222c40c8d,Amanda Meza,26,35208,0,2025-04-17 06:47:49.000000,14.03,false,0.00,Net Banking,Groceries,14.03,0,1,2025-04-20 03:00:00.000000
14558,c20befbc-0b6c-4d93-842f-afc4068b78ad,Dr. Anna Taylor,50,95292,1,2025-03-25 22:24:19.000000,43.31,false,0.00,Net Banking,Electronics,43.31,1,3,2025-04-20 03:00:00.000000
14559,946c6a8f-ca1d-4a5c-a61f-e5ba20de306d,Tiffany Martinez,26,27390,1,2025-03-25 19:03:09.000000,29.43,false,0.00,Credit Card,Groceries,29.43,1,1,2025-04-20 03:00:00.000000
14560,8392ab61-3be7-4f9a-9b00-e2bd44a3e7aa,Andrea Mcdaniel,30,26240,0,2025-03-24 18:04:21.000000,22.23,false,0.00,Cod,Home Decor,22.23,1,1,2025-04-20 03:00:00.000000
14561,45043961-1d95-49f6-9c5e-3f9a5732dbce,Wendy Morrison,18,46628,0,2025-04-05 16:41:50.000000,29.85,false,0.00,Credit Card,Home Decor,29.85,0,1,2025-04-20 03:00:00.000000
14562,07759ad1-2e84-484d-a1de-141e671314ac,Heather Mitchell,42,41716,0,2025-04-04 13:26:34.000000,59.79,false,0.00,Credit Card,Electronics,59.79,1,1,2025-04-20 03:00:00.000000
14563,fea80357-7d13-4b61-b78e-9dd79144cc43,Michael Hale,26,67961,0,2025-03-22 13:43:29.000000,81.26,true,23.03,Cod,Electronics,81.26,1,2,2025-04-20 03:00:00.000000
14564,16cf4765-06b1-4f31-86f9-3aeaa1fa2f1f,Lisa Acevedo,43,43230,1,2025-04-06 16:57:37.000000,20.02,true,3.20,Credit Card,Clothing,20.02,0,1,2025-04-20 03:00:00.000000
14565,6d00404d-cfdb-4169-b12d-74e5d08d8171,Lisa Chen,37,61716,1,2025-04-16 18:46:01.000000,12.61,false,0.00,Credit Card,Groceries,12.61,0,2,2025-04-20 03:00:00.000000
14566,59da2538-6c7c-4745-a552-1f17a2782fb7,Steve Acosta,54,76053,1,2025-03-29 21:23:18.000000,50.95,false,0.00,Net Banking,Electronics,50.95,1,2,2025-04-20 03:00:00.000000
14567,24905752-1db7-486b-bbdc-9e28a3d1fe60,Stephanie Warren,18,27757,1,2025-04-06 19:25:38.000000,13.64,false,0.00,Credit Card,Clothing,13.64,0,1,2025-04-20 03:00:00.000000
14568,c16b6bf8-1193-4a7e-9b55-13b2e574af34,Brian Edwards,33,104105,1,2025-04-01 00:39:18.000000,41.48,false,0.00,Net Banking,Clothing,41.48,1,3,2025-04-20 03:00:00.000000
14569,fc860955-e064-4fe5-b66d-ff365d4e0367,Deborah Gray,37,57100,0,2025-03-29 19:28:12.000000,10.41,true,1.12,Credit Card,Home Decor,10.41,1,2,2025-04-20 03:00:00.000000
14570,5e99347c-c947-400c-8a69-ebdb791c054d,Henry Hernandez,30,66215,1,2025-03-29 03:20:12.000000,11.58,false,0.00,Credit Card,Home Decor,11.58,1,2,2025-04-20 03:00:00.000000
14571,9b040a45-d69c-4fd6-b7be-99a512504e5d,Edward Abbott,21,55687,0,2025-04-10 23:57:09.000000,19.36,true,5.19,Credit Card,Books,19.36,0,2,2025-04-20 03:00:00.000000
14572,e954212c-d330-4f87-81c1-c16644d65e01,Jane Rios,18,39420,1,2025-03-22 03:19:43.000000,19.38,false,0.00,Paypal,Clothing,19.38,1,1,2025-04-20 03:00:00.000000
